"d.hits","wk.hits","adj.d"
63,0,630
26,0,260
26,6,6
22,0,5.07692307692308
20,0,4.61538461538462
41,0,9.46153846153846
30,0,6.92307692307692
21,0,4.84615384615385
25,0,5.76923076923077
25,11,11
20,0,8.8
20,0,8.8
20,0,8.8
52,0,22.88
31,0,13.64
25,0,11
25,7,7
1,0,0.28
30,0,8.4
30,0,8.4
20,0,5.6
21,0,5.88
1,0,0.28
1,8,8
1,0,8
41,0,328
21,0,168
62,0,496
32,0,256
26,0,208
26,10,10
42,0,16.1538461538462
1,0,0.384615384615385
31,0,11.9230769230769
42,0,16.1538461538462
32,0,12.3076923076923
27,0,10.3846153846154
1,11,11
19,0,209
66,0,726
63,0,693
45,0,495
29,0,319
1,0,11
26,13,13
39,0,19.5
48,0,24
19,0,9.5
59,0,29.5
63,0,31.5
24,0,12
26,11,11
19,0,8.03846153846154
66,0,27.9230769230769
28,0,11.8461538461538
29,0,12.2692307692308
59,0,24.9615384615385
1,0,0.423076923076923
1,6,6
19,0,114
46,0,276
65,0,390
76,0,456
20,0,120
1,0,6
25,10,10
19,0,7.6
28,0,11.2
75,0,30
38,0,15.2
30,0,12
24,0,9.6
1,15,15
48,0,720
19,0,285
47,0,705
29,0,435
100,0,1500
25,0,375
1,16,16
38,0,608
38,0,608
76,0,1216
69,0,1104
82,0,1312
26,0,416
1,20,20
30,0,600
58,0,1160
39,0,780
40,0,800
61,0,1220
1,0,20
1,7,7
49,0,343
40,0,280
20,0,140
21,0,147
22,0,154
1,0,7
1,8,8
1,0,8
59,0,472
70,0,560
20,0,160
52,0,416
1,0,8
26,12,12
59,0,27.2307692307692
30,0,13.8461538461538
1,0,0.461538461538462
42,0,19.3846153846154
43,0,19.8461538461538
26,0,12
27,9,9
41,0,13.6666666666667
41,0,13.6666666666667
20,0,6.66666666666667
31,0,10.3333333333333
22,0,7.33333333333333
1,0,0.333333333333333
1,8,8
41,0,328
20,0,160
41,0,328
52,0,416
1,0,8
24,0,192
1,13,13
57,0,741
37,0,481
28,0,364
19,0,247
30,0,390
1,0,13
25,9,9
57,0,20.52
19,0,6.84
19,0,6.84
98,0,35.28
1,0,0.36
1,0,0.36
1,13,13
28,0,364
38,0,494
28,0,364
56,0,728
59,0,767
1,0,13
24,14,14
19,0,11.0833333333333
28,0,16.3333333333333
28,0,16.3333333333333
38,0,22.1666666666667
100,0,58.3333333333333
25,0,14.5833333333333
1,14,14
39,0,546
38,0,532
19,0,266
48,0,672
69,0,966
24,0,336
1,10,10
37,0,370
28,0,280
19,0,190
19,0,190
39,0,390
24,0,240
1,17,17
28,0,476
47,0,799
38,0,646
77,0,1309
49,0,833
24,0,408
1,18,18
38,0,684
56,0,1008
28,0,504
19,0,342
19,0,342
24,0,432
73,12,12
1,0,0.164383561643836
46,0,7.56164383561644
18,0,2.95890410958904
65,0,10.6849315068493
76,0,12.4931506849315
24,0,3.94520547945205
23,22,22
82,0,78.4347826086957
18,0,17.2173913043478
99,0,94.695652173913
55,0,52.6086956521739
65,0,62.1739130434783
23,0,22
1,10,10
26,0,260
53,0,530
36,0,360
36,0,360
19,0,190
24,0,240
24,12,12
1,0,0.5
35,0,17.5
34,0,17
17,0,8.5
45,0,22.5
1,0,0.5
1,7,7
35,0,245
35,0,245
26,0,182
1,0,7
22,0,154
1,0,7
1,10,10
21,0,210
32,0,320
64,0,640
43,0,430
22,0,220
1,0,10
1,10,10
21,0,210
41,0,410
63,0,630
42,0,420
66,0,660
28,0,280
1,11,11
53,0,583
53,0,583
1,0,11
21,0,231
33,0,363
1,0,11
1,10,10
22,0,220
31,0,310
62,0,620
31,0,310
76,0,760
1,0,10
27,11,11
31,0,12.6296296296296
40,0,16.2962962962963
41,0,16.7037037037037
21,0,8.55555555555556
54,0,22
27,0,11
1,6,6
21,0,126
30,0,180
