"Date","open","high","low","close","volume","adj.","EMA3","EMA5","EMA10","WPR","RSI.5","RSI.10","macd","MACD.12.26.EMA","fastK","fastD","stoch.3","fastK.1","fastD.1","stoch.def","ROC.3","ROC.5","ROC.10","tr","atr","trueHigh","ATR.5","ATR.10","ATR.15","Vol.ROC.1","Vol.ROC.3","Vol.ROC.5","Vol.ROC.10","Vol.RSI.3","Vol.RSI.5","Vol.RSI.10","Delt.1","sd.month.d1","sd.qrtr.d1","sd.annual.d1","wikicnts","wiki.ROC.1","wiki.ROC.3","wiki.RSI.3","wiki.RSI.5","d.hits","wk.hits","adj.d","adj.d.ROC.1","adj.d.ROC.5","mrtg.d.hits","mrtg.adj.d","mrtg.adj.d.ROC.3","mrtg.adj.d.ROC.5","Resp.1.std","Resp.2.std","Resp.5d.2sd","Resp.10d.2sd"
2015-10-06,110.629997,111.739998,109.769997,111.309998,48196800,105.495781,105.127413676267,105.146529857026,105.669025194591,0.57356094944096,61.5088565395286,48.0778016598632,-0.799163273410031,-0.611981190700795,0.42643905055904,0.374555632741023,0.321366894873331,0.42643905055904,0.374555632741023,0.321366894873331,0.0156642122549853,0.020420878730584,-0.0186022622942508,1.970001,2.75844017527067,111.739998,109.769997,2.91003158231044,3.04016847151212,-0.077194547125881,-0.282482027970694,-0.420159806024522,-0.0436305158071804,7.77140871843271,22.4458785086401,38.699794019507,0.00477281337212863,0.0154708818484936,0.0215580264802726,0.0162379904013264,31,0.215111379616946,1.03609193168678,73.6842105263158,50,63,0,147,-0.0465200156348935,1.02742402661772,63,60.4109589041096,-0.28402568214266,-0.177257706716954,0,0,0,0
2015-10-07,111.739998,111.769997,109.410004,110.779999,46765600,104.993469,105.060441338134,105.095509571351,105.546196795575,0.630064017030269,46.2106646388052,43.2561990688909,-0.804329191949349,-0.650450790950506,0.369935982969731,0.388770338832833,0.358239793165179,0.369935982969731,0.388770338832833,0.358239793165179,0.00361734979682371,0.00434223575747605,-0.031455261719576,2.359993,2.67875074021653,111.769997,109.410004,2.8550277240794,2.99482344007798,-0.0301447388989473,-0.215636441687909,-0.351647960265595,0.268410225744315,6.03509655535672,20.0105683766626,37.1871681268714,-0.00477281337212873,0.015026508502413,0.0215742126571948,0.0162389026594112,24,-0.255933374137201,0.0870113769896297,35,34.7826086956522,50,0,116.666666666667,-0.231111720963386,0.0623431305741358,100,95.8904109589041,0.3147107448397,0.469920186015201,0,0,0,0
2015-10-08,110.190002,110.190002,108.209999,109.5,61979600,103.780327,104.420384169067,104.657115380901,105.225129560016,0.7665244065994,24.3084226220242,33.3759356989695,-0.891007051225634,-0.698562043005531,0.2334755934006,0.343283542309789,0.368869837961216,0.2334755934006,0.343283542309789,0.368869837961216,-0.0116217233922669,-0.000730324509410352,-0.0490076204984708,2.57000000000001,2.65700059217323,110.779999,108.209999,2.82652495167146,2.96650187740612,0.281657408731839,0.17431812270701,-0.0309693581378028,0.210401901156914,83.6585116531859,70.7000944819683,58.3421606977945,-0.0116217233922673,0.0148946636711589,0.0213742358868651,0.0162422642634282,21,-0.133531392624523,-0.174353387144778,24.1379310344828,29.0909090909091,57,0,133,0.131028262406404,1.94591014905531,74,70.958904109589,0.0413852161628547,-0.123095315330023,0,0,0,0
2015-10-09,110,112.279999,109.489998,112.120003,52766100,106.263466,105.341925084533,105.192565587267,105.413918003649,0.487206508653941,69.1710937131541,57.6027894658858,-0.761354519792568,-0.711120538362939,0.512793491346059,0.372068355905463,0.368040745682696,0.512793491346059,0.372068355905463,0.368040745682696,0.00725057700221754,0.01564074017117,-0.0228374724590283,2.790001,2.68360067373858,112.279999,109.489998,2.82287255650431,2.95473515224571,-0.160936359585811,0.09057631024708,-0.094915392541882,-0.0621915794878412,41.8177799399517,44.8704460769956,46.7004463487457,0.0236451137666134,0.0138362856329038,0.0212760827183497,0.0162496976729882,26,0.213574100298059,-0.175890666463664,62.7118644067797,49.6774193548387,89,0,207.666666666667,0.44558510189759,2.29141179239592,74,70.958904109589,0.160930366812638,0.0136056520557784,1,0,0,1
2015-10-12,112.730003,112.75,111.440002,111.599998,30467200,105.77063,105.556277542267,105.385253724845,105.478774730258,0.542644118275429,58.7962847527622,52.9335269064671,-0.688296171426184,-0.706555664975588,0.457355881724571,0.401208322157076,0.37218674012411,0.457355881724571,0.401208322157076,0.37218674012411,0.00737473341951755,0.00737473341951755,-0.00749866773794849,1.30999799999999,2.40888013899087,112.75,111.440002,2.67158510085388,2.84508600876266,-0.549218243948989,-0.428497194802961,-0.53583648082779,-0.536686983453123,12.2241825871131,19.2881597981369,29.3665465307542,-0.00464865695482908,0.0141709930873858,0.0212220727618687,0.0162660415103468,35,1.25276296849537,0.297251523467931,83.1876260928043,72.6887561108093,41,0,36.4444444444444,0.823200308808143,-1.16353183476743,73,107.066666666667,0.411350799299359,0.110245706515437,0,0,0,1
2015-10-13,110.82,112.449997,110.68,111.790001,33049300,105.950699,105.753488271133,105.57373548323,105.564579142939,0.522387943544587,61.9260461704237,54.5777477515433,-0.609611649830955,-0.687166861946661,0.477612056455413,0.482587143175347,0.418621273745963,0.477612056455413,0.482587143175347,0.418621273745963,0.0206974573134167,0.00430292054902104,0.024723799279605,1.76999699999999,2.28110351119269,112.449997,110.68,2.58142629076849,2.77341340817848,0.0813496909339015,-0.628804912600899,-0.377292242768007,-0.797452048792529,24.5841917069689,26.5607341662486,32.8918022038571,0.00170100050163284,0.0134117198858048,0.0210644223998381,0.0162688875630705,39,0.108213584640233,1.09861228866811,86.6381614110102,76.4231454562506,39,0,34.6666666666667,-0.0500104205746612,-1.34457051774849,81,118.8,0.708531741854266,0.515340512823407,0,0,0,1
2015-10-14,111.290001,111.519997,109.559998,110.209999,44462400,104.453232,105.103360135567,105.200234322153,105.362516026041,0.690831581734933,31.7975276967181,40.2766270764174,-0.65410912873598,-0.680555315304525,0.309168418265067,0.414712118815016,0.432835861382481,0.309168418265067,0.414712118815016,0.432835861382481,-0.0171821080385754,-0.00515871766422915,-0.000816481906753097,2.23000300000001,2.27088340895415,111.790001,109.559998,2.54628396169164,2.73718604763325,0.296643502142597,-0.17122505087249,-0.0505040017264626,-0.402151961992057,66.4044291422413,54.0260487063881,47.143311770908,-0.0142344515853793,0.0130084345788449,0.0210682475285712,0.016267708161018,45,0.143100843640673,1.50407739677627,91.7300694674165,81.9700935919963,39,0,34.6666666666667,0,-1.79015561964608,59,86.5333333333333,0.2708749541354,0.198428802056688,0,0,0,1
2015-10-15,110.93,112.099998,110.489998,111.860001,37673500,106.017059,105.560209567783,105.472509214769,105.481523839488,0.373277996342149,61.2953623062,55.2450787908349,-0.563435701007597,-0.65713139244514,0.626722003657851,0.471167492792776,0.456155584927714,0.626722003657851,0.471167492792776,0.456155584927714,0.00232713348330993,0.0213235902950943,0.020593265785684,1.889999,2.19470652716332,112.099998,110.209999,2.48065546552248,2.68070691112437,-0.165686958666182,0.212306234410317,-0.497848369124483,-0.528817727262286,40.0097741848966,40.5086979638883,40.8381363688307,0.0148605845670565,0.0130788599996408,0.021075191645318,0.0162827252440737,37,-0.195744577126095,0.0555698511548108,45.4963084495488,55.741422614548,53,0,47.1111111111111,0.306730267422475,0.807986440172315,76,111.466666666667,0.0402738991379401,0.644815927468158,1,0,0,1
2015-10-16,111.779999,112,110.529999,111.040001,39232600,105.239891,105.400050283892,105.394969809846,105.437590595945,0.398387001040643,46.3512810030822,47.9460982817385,-0.544679443129858,-0.634641002582083,0.601612998959356,0.512501140294091,0.466126917300629,0.601612998959356,0.512501140294091,0.466126917300629,-0.00673146170047723,-0.00967911815367373,0.00596162201749628,1.470001,2.04976542173066,112,110.529999,2.37959001897023,2.59999318371608,0.0405511043150923,0.171507647791508,-0.29636090522358,-0.391276297765462,49.2712042181705,45.229351018074,42.9787512691269,-0.00735759468215496,0.0133943896768002,0.0210949301857312,0.0162925714751073,35,-0.0555698511548108,-0.108213584640233,36.3386187917704,49.7694849199049,30,0,26.6666666666667,-0.569094531889967,0.51082562376599,81,118.8,0,0.58778666490212,0,0,1,1
2015-10-19,110.800003,111.75,110.110001,111.730003,29759200,105.893852,105.646951141946,105.561263873231,105.520547214864,0.187499379595817,58.9756907243107,54.1730648564094,-0.474377884661847,-0.602588378998036,0.812500620404183,0.680278541007129,0.554649058031333,0.812500620404183,0.680278541007129,0.554649058031333,0.0136977655946735,0.0011643145109268,0.00853904793044435,1.639999,1.96781213738453,111.75,110.110001,2.30563091707321,2.53599357146834,-0.276369705951502,-0.401505560302592,-0.0235123672260933,-0.559348848053883,17.1311663291008,26.24696340444,33.8760293129784,0.00619477570977237,0.0134294755050993,0.0210607580872138,0.0162799583173181,31,0.389464766761723,-0.121360857004267,57.2926239527476,51.2893190041191,68,0,1360,4.21950770517611,3.66946136825683,78,102.470588235294,-0.147865593572313,0.169046117194407,0,0,1,1
2015-10-20,111.339996,114.169998,110.82,113.769997,48778800,107.827286,106.737118570973,106.316604582154,105.939954266707,0.0583091836734697,79.9251494516809,68.0038903364562,-0.26808551624915,-0.535687806448259,0.94169081632653,0.785268145230023,0.659349275510415,0.94169081632653,0.785268145230023,0.659349275510415,0.0169307282034898,0.0175568611851675,0.0218597817341886,3.34999800000001,2.24424930990763,114.169998,110.82,2.41006762536589,2.59026053337045,0.494157464356039,0.258338862719629,0.389295406196045,0.0120031634280373,77.1033801549819,67.4223211765655,56.4891579088209,0.0180935471758723,0.0128034430315353,0.0209195280040006,0.016260435214293,44,0.350202429433115,0.228841572428848,82.3907469198707,72.6996282562727,57,0,1140,-0.176456437341556,3.1862746634928,79,103.78431372549,0.388121575969666,-0.0714107534087747,1,0,1,1
2015-10-21,114,115.580002,113.699997,113.760002,41795200,107.817802,107.277460285486,106.817003721436,106.281381127306,0.226650090491916,79.6259645397975,67.8810649032401,-0.104457568321192,-0.449441758822846,0.773349909508084,0.842513782079598,0.769353489438918,0.773349909508084,0.842513782079598,0.769353489438918,0.0242003635438008,0.0317033534287026,0.0265446357644734,1.880005,2.1714004479261,115.580002,113.699997,2.3570613628293,2.54291016447909,-0.154514291838119,0.0632734665664181,-0.0618623877846716,-0.112366389511134,50.3464743203703,51.5663428500474,48.9731396254786,-8.79593418433972e-05,0.0133978366035487,0.0210546065671046,0.0162739990758464,47,0.0659579677917974,0.805625163986635,86.1479202780487,76.3048167209926,45,0,900,-0.236388778064231,3.51898041731854,75,98.5294117647059,0.385662480811985,-0.187086306725594,0,0,1,0
